dep_epci;siren_epci;nom_complet;nj_epci2015;fisc_epci2015;nb_com_epci_2015;ptot_epci_2015;pmun_epci_2015;dep_com;insee;siren_com;nom_com;ptot_2015;pmun_2015
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01034;210100343;Belley;9298;8870
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01039;210100392;Béon;441;429
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01058;210100582;Brégnier-Cordon;914;889
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01061;210100616;Brens;1248;1215
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01066;210100665;La Burbanche;74;73
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01073;210100731;Ceyzérieu;1012;979
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01098;210100988;Chazey-Bons;819;803
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01100;210101002;Cheignieu-la-Balme;159;152
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01110;210101101;Colomieu;120;118
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01116;210101168;Contrevoz;546;528
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01117;210101176;Conzieu;153;145
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01133;210101333;Cressin-Rochefort;379;375
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01138;210101382;Culoz;3001;2940
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01141;210101416;Cuzieu;427;410
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01162;210101622;Flaxieu;65;65
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01193;210101937;Izieu;213;211
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01208;210102083;Lavours;156;152
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01227;210102273;Magnieu;432;428
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01234;210102349;Marignieu;162;156
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01239;210102398;Massignieu-de-Rives;640;628
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01268;210102687;Murs-et-Gélignieux;253;248
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01271;210102711;Nattages;585;571
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01286;210102869;Parves;371;369
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01294;210102943;Peyrieu;850;831
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01302;210103024;Pollieu;164;157
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01310;210103107;Prémeyzel;227;222
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01316;210103164;Pugieu;180;179
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01329;210103297;Rossillon;149;145
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01338;210103388;Saint-Benoît;827;810
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01340;210103404;Saint-Bois;135;132
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01341;210103412;Saint-Champ;152;150
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01358;210103586;Saint-Germain-les-Paroisses;416;408
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01372;210103727;Saint-Martin-de-Bavel;438;426
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01452;210104527;Virieu-le-Grand;1162;1141
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01454;210104543;Virignin;966;939
01;200040350;CC Bugey Sud;CC;FPU;41;29414;28500;01;01456;210104568;Vongnes;81;74
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01005;210100053;Ambérieux-en-Dombes;1660;1642
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01021;210100210;Ars-sur-Formans;1404;1380
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01030;210100301;Beauregard;892;866
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01105;210101051;Civrieux;1472;1394
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01157;210101572;Fareins;2242;2196
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01166;210101663;Frans;2019;1972
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01238;210102380;Massieux;2459;2420
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01250;210102505;Misérieux;2002;1785
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01285;210102851;Parcieux;1167;1124
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01318;210103180;Rancé;681;667
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01322;210103222;Reyrieux;4442;4311
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01339;210103396;Saint-Bernard;1439;1396
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01347;210103479;Saint-Didier-de-Formans;1851;1782
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01353;210103537;Sainte-Euphémie;1611;1580
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01362;210103628;Saint-Jean-de-Thurigneux;783;774
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01398;210103982;Savigneux;1243;1232
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01423;210104238;Toussieux;820;797
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01427;210104279;Trévoux;6925;6714
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;36540;35440;01;01446;210104469;Villeneuve;1428;1408
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01011;210100111;Apremont;393;385
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01014;210100145;Arbent;3566;3440
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01031;210100319;Bellignat;3845;3642
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01035;210100350;Belleydoux;350;332
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01051;210100517;Bolozon;95;91
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01060;210100608;Brénod;561;543
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01063;210100632;Brion;525;517
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01067;210100673;Ceignes;271;261
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01087;210100871;Charix;289;283
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01101;210101010;Chevillard;167;160
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01112;210101127;Condamine;452;418
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01148;210101481;Dortan;1929;1871
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01152;210101523;Echallon;799;770
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01170;210101705;Béard-Géovreissiat;1004;974
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01171;210101713;Géovreisset;959;920
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01181;210101812;Groissiat;1195;1164
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01191;210101911;Izenave;174;169
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01192;210101929;Izernore;2383;2309
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01204;210102042;Lalleyriat;267;255
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01206;210102067;Lantenay;271;263
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01214;210102141;Leyssard;155;147
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01228;210102281;Maillat;682;657
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01237;210102372;Martignat;1650;1585
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01240;210102406;Matafelon-Granges;674;652
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01265;210102653;Montréal-la-Cluse;3513;3424
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01267;210102679;Nurieux-Volognat;1066;1037
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01269;210102695;Nantua;3747;3588
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01274;210102745;Les Neyrolles;653;634
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01282;210102828;Outriaz;263;254
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01283;210102836;Oyonnax;23053;22436
01;200042935;CC Haut - Bugey;CC;FPU;37;59353;57434;01;01293;210102935;Peyriat;178;174
