version_longue,abbrev
FOND,FD
FORESTIERE,FOREST
FORESTIERE,FOREST
FAUBOURG,FG
FBG,FG
FAUB,FG
FONTAINE,FON
FOSSE,FOS
FERME,FRM
FERM,FRM
GALERIE,GAL
GENERAL,GAL
GARE,GARE
GRAND BOULEVARD,GBD
GRAND,GD
GRANDE,GDE
GRANDES,GDES
GRANDS,GDS
GEN,GAL
GOUVERNEUR,GOUV
GRAND PLACE,GPL
((GD|GDE|GRANDE|GRAND) RUE|GR |RUE )((GD|GDE|GRANDE|GRAND) RUE|GR),GR
(GR|GRAND|GRANDE) (GR|GRANDE|RUE),GR
GROU(PE| PE|P),GRP
GR(P|PE),GRP
GR SCOL,GRP SCOL
(GPE|GROU|GROUP|GROUPE|GRP|GRPE|GR|G) SCOL(|A|AI|AIR|AIRE),GRP SCOL
HABITATION,HAB
HAMEAU,HAM
HALLE,HLE
HALAGE,HLG
HLM,HLM
HAUT,HT
HAUTE,HTE
HAUTES,HTES
HAUTS,HTS
IMPASSE,IMP
JARDIN,JARD
JARDINS,JARD
JETEE,JTE
LA FAYETTE,LAFAYETTE
LEVEE,LEVE
LICES,LICE
LIGNE,LIGN
LOTISSEMENT,LOT
LIEUTENANT,LT
LIEUT,LT
LTN,LT
MAIL,MAIL
MAISON,MAI
MARECHAL,MAL
MARCHE,MAR
MAS,MAS
MOULIN,MLN
MOUL,MLN
MARINA,MRN
MONTEE,MTE
MONT,MT
MONTS,MT
NOUVELLE ROUTE,NTE
NOTRE DAME,ND
N D,ND
N NO,N
N NATIONALE N,N
NEUVE,NVE
PETITE AVENUE PET AVE,PAE
PETITE AVENUE PTE AVE,PAE
PAE PET AVE,PAE
PAE PTE AVE,PAE
PETITE AVENUE,PAE
PARC,PARC
VOIE COMMUNALE PGE,PAS
PAS PGE,PAS
PASSAGE PGE,PAS
VC PGE,PAS
PASSAGE,PAS
PGE,PAS
PASSE,PASS
PLACE,PL
PETIT CHEMIN PT CHEM,PCH
PETIT CHEMIN PT CHEMIN,PCH
PETIT CHEMIN PETIT CHEM,PCH
PCH PET CHE,PCH
PCH PETIT CHEMIN,PCH
PETIT CHEMIN,PCH
PRESIDENT,PDT
PASSAGE,PGE
PHARE,PHAR
PISTE,PIST
PARKING,PKG
PLACE,PL
PLACA,PLA
PLAGE,PLAG
PLACIS,PLCI
PASSERELLE,PLE
PLAINE,PLN
PLATEAU,PLT
POINTE,PNT
PONT,PONT
PORTIQUE,PORQ
POSTE,POST
