fantoir_ban,fantoir_bano,voie,nb_ban,nb_bano,diff
2890,2890,cité dugay,11,11,0
2900,2900,cité dulamon 196 sainte-catherine,2,7,-5
2925,2925,cité dunoyer,19,19,0
2938,2938,cité du périer,74,37,37
3015,3015,cité dutrey,50,53,-3
3415,3415,cité feaugas,11,12,-1
,3885,Cité Gauthier,,8,-8
,4165,Cité Gratecap,,1,-1
,4965,Cité Laclaverie,,1,-1
5040,5040,cité lafon,53,86,-33
,6085,Cité Marsan,,16,-16
6105,6105,cité martin videau,9,7,2
6484,6484,cité montagut,6,9,-3
6600,6600,cité mouneyra,25,25,0
7235,7235,cité peyronneaud,41,41,0
7850,7850,cité reinette,61,67,-6
8055,,cité roques,1,,1
8310,8310,cité saint-martin,21,15,6
,8546,Cité Saugeon,,20,-20
8735,8735,cité souriaux,19,18,1
8955,8955,cité tirepois,5,3,2
9428,9428,cité vincent thuron,5,5,0
,9427,Cité Vincent Thuron,,1,-1
0250,0250,cours anatole france,24,24,0
0370,0370,cours aristide briand,107,108,-1
0570,0570,cours balguerie stuttenberg,231,246,-15
0595,0595,cours barbey,9,4,5
1904,1904,cours charles bricaud,4,1,3
0120,0120,cours d'albret,83,77,6
0200,0200,cours d'alsace et lorraine,111,125,-14
4110,4110,cours de gourgue,12,12,0
5515,5515,cours de la libération,59,60,-1
6065,6065,cours de la marne,231,221,10
6115,6115,cours de la martinique,82,90,-8
0365,0365,cours de l'argonne,243,240,3
8705,8705,cours de la somme,354,348,6
4510,4510,cours de l'intendance,71,65,6
5760,5760,cours de luze,32,31,1
9500,9500,cours de l'yser,225,229,-4
"",,cours de quebec,8,,8
,7711,Cours de Québec,,1,-1
0438,0438,cours des aubiers,18,1,17
,0437,Cours des Aubiers,,14,-14
9025,9025,cours de tournon,19,18,1
9250,9250,cours de verdun,105,107,-2
9075,9075,cours du 30 juillet,13,12,1
1875,1875,cours du chapeau rouge,38,39,-1
5975,5975,cours du maréchal foch,33,33,0
5990,5990,cours du maréchal gallieni,127,133,-6
6265,6265,cours du médoc,182,177,5
2960,2960,cours dupré saint-maur,18,27,-9
7755,7755,cours du raccordement,12,11,1
3090,3090,cours édouard vaillant,63,59,4
3325,3325,cours evrard de fayolle,29,37,-8
3985,3985,cours georges clémenceau,77,76,1
4355,,cours henri brunet,4,,4
4800,4800,cours journu auber,114,132,-18
4847,,cours jules ladoumegue,1,,1
5425,5425,cours le rouzic,80,84,-4
5665,5665,cours louis fargue,26,7,19
5915,5915,cours marc nouaux,80,85,-5
1905,,cours marc nouaux,1,,1
5998,5998,cours maréchal juin,58,56,2
6980,6980,cours pasteur,72,73,-1
7460,7460,cours portal,75,74,1
8285,8285,cours saint-louis,157,139,18
0755,0755,cours victor hugo,1,333,-332
9315,9315,cours victor hugo,138,149,-11
9490,9490,cours xavier arnozan,48,47,1
3624,3624,cours xavier arnozan,1,1,0
2530,2530,impasse 1ère delbos,9,7,2
2535,2535,impasse 2e delbos,2,2,0
0165,0165,impasse alfred molina,11,11,0
0430,0430,impasse astie cère,10,7,3
0600,0600,impasse barbot,6,7,-1
0615,0615,impasse bardos,10,9,1
,0644,Impasse Barreyre,,2,-2
0643,0643,impasse barreyre deuxième,14,1,13
0657,0657,impasse basque,3,2,1
0890,0890,impasse berthus,17,19,-2
0950,0950,impasse birouette,6,13,-7
"",,impasse bobillot,1,,1
,1000,Impasse Bobillot,,1,-1
1040,1040,impasse bon gre mal gre,7,8,-1
1135,1135,impasse bouquière,2,2,0
1160,1160,impasse bouscatier,8,8,0
1170,1170,impasse bouthier,12,11,1
1290,1290,impasse brulatour,9,8,1
1325,1325,impasse buscaillet,2,2,0
1365,1365,impasse caillabet,5,3,2
1372,1372,impasse caillou,7,8,-1
1780,1780,impasse cestas,8,9,-1
