fantoir_ban,fantoir_bano,voie,nb_ban,nb_bano,diff
0875,0875,rue bernard carmouze,11,12,-1
0880,0880,rue berrouet,5,7,-2
0885,0885,rue berruer,172,177,-5
"",,rue bertin,1,,1
,0896,Rue Bertin,,1,-1
0900,0900,rue bertrand andrieu,29,33,-4
0905,0905,rue bertrand de goth,141,152,-11
0911,0911,rue beyssac,22,22,0
0920,0920,rue bigot,25,32,-7
0925,0925,rue bigourdan,17,16,1
0930,0930,rue billaudel,121,134,-13
0935,0935,rue binaud,115,118,-3
0955,0955,rue blaise pascal,54,55,-1
0960,0960,rue blanc dutrouilh,17,18,-1
0965,0965,rue blanchard latour,52,52,0
0970,0970,rue blanche,31,35,-4
0980,0980,rue blanqui,167,180,-13
1005,1005,rue bobillot,19,21,-2
1025,1025,rue boileau,9,9,0
1030,1030,rue boistaud,13,12,1
1035,1035,rue bolivar,12,10,2
5420,5420,rue bongrand,1,13,-12
1045,1045,rue bongrand,23,24,-1
"",,rue bonnaffe,2,,2
,1050,Rue Bonnaffé,,5,-5
1055,1055,rue bonnefin,104,104,0
1060,1060,rue borda,38,32,6
1080,1080,rue borie,69,69,0
1090,1090,rue bossuet,35,33,2
1100,1100,rue boudet,44,45,-1
1105,1105,rue bouffard,49,50,-1
1107,1107,rue bougainville,1,9,-8
1110,1110,rue bouguereau,12,11,1
1120,1120,rue boulan,19,23,-4
1125,,rue boulanger,2,,2
1140,1140,rue bouquière,57,60,-3
1145,1145,rue bourbon,80,103,-23
1175,1175,rue bouthier,41,45,-4
1230,1230,rue bouthier,1,89,-88
1180,1180,rue boutin,54,54,0
1190,1190,rue boyer,45,45,0
1200,1200,rue brachet,25,26,-1
1205,1205,rue bradley,30,31,-1
1210,1210,rue bragard,11,15,-4
1225,1225,rue brascassat,27,18,9
1235,1235,rue bréau,41,40,1
1240,1240,rue bremontier,49,51,-2
,1245,Rue Brenet,,1,-1
1257,1257,rue brian,16,15,1
1270,1270,rue brizard,75,77,-2
1285,1285,rue brulatour,34,32,2
1295,1295,rue brun,33,34,-1
1300,1300,rue buchou,33,32,1
1310,1310,rue buffon,10,11,-1
1315,1315,rue buhan,40,41,-1
1330,1330,rue cabanac,12,17,-5
1340,1340,rue cabirol,8,10,-2
1355,1355,rue cadroin,54,57,-3
1370,1370,rue caillou,51,49,2
1385,1385,rue calendrin,19,16,3
1395,1395,rue calve,46,49,-3
1400,1400,rue calvimont,21,21,0
1405,1405,rue cambon,16,21,-5
1415,1415,rue camena d'almeida,76,75,1
"",,rue camille claudel,4,,4
1430,1430,rue camille flammarion,104,111,-7
1435,1435,rue camille godard,219,219,0
1448,1448,rue camille renouil,13,14,-1
1450,1450,rue camille saint-saëns,46,26,20
1451,1451,rue camille saint-saëns caud,18,18,0
1455,1455,rue camille sauvageau,91,103,-12
1475,1475,rue canihac,14,19,-5
1480,1480,rue canis,9,13,-4
1500,1500,rue cantemerle,26,30,-4
1510,1510,rue capdeville,51,46,5
1533,,rue capitaine kléber dupuy,4,,4
1535,1535,rue capitaine madon,14,15,-1
1540,1540,rue capitaine montauban,9,11,-2
,5109,Rue Capit. Philippe Koenigswerther,,12,-12
1560,1560,rue carbonneau,24,25,-1
1585,1585,rue carle vernet,57,72,-15
1610,1610,rue carpenteyre,63,80,-17
1620,1620,rue carruade,12,14,-2
1625,1625,rue carton,23,32,-9
1630,1630,rue cassignard,36,36,0
1635,1635,rue cassignol,10,17,-7
1640,1640,rue casteja,30,31,-1
1645,1645,rue castelmoron,11,12,-1
1650,1650,rue castelnau d'auros,13,15,-2
1655,1655,rue castillon,23,21,2
1328,1328,rue catherine et william booth,13,14,-1
1667,1667,rue catros gerand,20,21,-1
1670,1670,rue catulle mendès,40,40,0
1687,1687,rue caussade,19,20,-1
1710,1710,rue cazalis,18,16,2
1715,1715,rue cazaubon,4,9,-5
1720,1720,rue cazeaux,21,19,2
1725,1725,rue cazemajor,50,51,-1
1730,1730,rue cazenave,60,61,-1
"",,rue cellier,3,,3
1765,1765,rue cerey,48,48,0
1790,1790,rue chabrely,50,47,3
1795,1795,rue chabry,35,35,0
1805,1805,rue chaigneau,15,15,0
1825,1825,rue champion de cice,4,4,0
1830,1830,rue champlain,19,19,0
,1850,Rue Chanoine Vidal,,19,-19
1855,1855,rue chantecrit,1,7,-6
1860,1860,rue chantecrit,73,73,0
1870,1870,rue chantre,18,17,1
1903,1903,rue charles baudelaire,6,6,0
1910,1910,rue charles chaumet,47,53,-6
1930,1930,rue charles domercq,32,41,-9
1939,1939,rue charles gounod,5,5,0
1945,1945,rue charles lamoureux,7,10,-3
1950,1950,rue charles leveque,23,21,2
1955,1955,rue charles marionneau,32,34,-2
1960,1960,rue charles martin,66,65,1
1965,1965,rue charles monselet,44,44,0
1970,1970,rue charles péguy,22,22,0
1975,1975,rue charles puyo,29,32,-3
1977,1977,rue charles tournemire,11,12,-1
1978,1978,rue charles versein,9,10,-1
1980,1980,rue charlevoix de villers,21,23,-2
1985,1985,rue charpentier,56,50,6
2035,2035,rue chauffour,51,52,-1
2040,2040,rue cheminade,15,14,1
2050,2050,rue chevalier,56,63,-7
2055,2055,rue cheverus,37,38,-1
2059,2059,rue christian solar,45,37,8
2065,2065,rue christine,9,10,-1
6550,6550,Rue Cité Morion,3,3,0
2070,2070,rue claire,24,21,3
2080,2080,rue clare,19,20,-1
2085,2085,rue claude bernard caud,29,33,-4
1916,1916,rue claude bonnier,3,20,-17
3917,,rue claude bonnier,1,,1
2087,2087,rue claude bonnier,5,9,-4
2090,2090,rue claude boucher,12,18,-6
2095,2095,rue claude debussy,9,8,1
2100,2100,rue claude taffanel,30,32,-2
2105,2105,rue cleirac,2,2,0
2115,2115,rue clément,67,71,-4
,2120,Rue Clément Thomas,,4,-4
2125,2125,rue cleo,9,9,0
2130,2130,rue clérambault,56,53,3
2145,2145,rue coiffard,12,13,-1
2150,2150,rue colbert,45,45,0
2153,2153,rue colette,1,2,-1
2178,2178,rue colonel grandier-vazeille,64,69,-5
2185,2185,rue comayrou,9,8,1
2205,2205,rue commandant charcot,44,36,8
2206,2206,rue commandant charcot caud,53,52,1
2210,2210,rue commandant guilbaud,8,9,-1
2245,2245,rue condillac,38,54,-16
2256,2256,rue condorcet,88,84,4
2275,2275,rue conrad gaussen,19,17,2
2280,2280,rue constantin,35,37,-2
2290,2290,rue contrescarpe,13,19,-6
2300,2300,rue corcelle,7,8,-1
2310,2310,rue cornac,35,35,0
2320,2320,rue corneille,1,1,0
2325,2325,rue corot,68,30,38
2326,2326,rue corot caud,12,36,-24
1916,1916,rue corps franc pommies,1,20,-19
2328,2328,rue corps franc pommies,4,1,3
7918,,rue corps franc pommies,1,,1
2335,2335,rue cotrel,33,33,0
2340,2340,rue courbin,12,12,0
2346,2346,rue courpon,2,1,1
2360,2360,rue cousin,6,7,-1
2375,2375,rue crampel,21,22,-1
2380,2380,rue crémer,43,45,-2
2405,2405,rue crozilhac,5,4,1
2410,2410,rue cruchinet,35,36,-1
2425,2425,rue cyrano,29,34,-5
2430,2430,rue dabadie,14,15,-1
0062,0062,rue d'agen,91,91,0
0125,0125,rue d'alembert,7,11,-4
0205,0205,rue d'alzon,42,45,-3
2440,2440,rue daniel guestier,6,6,0
0311,0311,rue d'anjou,19,18,1
0345,0345,rue d'arcachon,47,49,-2
2450,2450,rue dardenne,11,10,1
0377,0377,rue d'arlac,11,12,-1
0380,0380,rue d'armagnac,15,13,2
2460,2460,rue darnal,23,26,-3
"",,rue d'artagnan,3,,3
,0412,Rue d'Artagnan,,6,-6
2465,2465,rue dasvin,2,8,-6
0435,0435,rue d'aubidey,73,79,-6
0445,0445,rue d'audenge,30,32,-2
0485,0485,rue d'auperie,70,68,2
2480,2480,rue dauphine,26,28,-2
2475,2475,rue dauphine,3,3,0
0500,0500,rue d'austerlitz,20,24,-4
2485,2485,rue dauzats,55,61,-6
0515,0515,rue d'aviau,46,45,1
2495,2495,rue david gradis,9,9,0
2500,2500,rue david johnston,183,187,-4
2505,2505,rue david raynal,17,15,2
0565,0565,rue de balaclava,26,29,-3
0650,0650,rue de barsac,18,21,-3
0710,0710,rue de bazas,5,4,1
0755,0755,rue de bègles,344,333,11
0760,0760,rue de beira,6,7,-1
0780,0780,rue de belcier,5,22,-17
0785,0785,rue de belfort,79,90,-11
0790,0790,rue de belgique,26,27,-1
0770,0770,rue de bel orme,33,35,-2
0865,0865,rue de berliquet,3,20,-17
0910,0910,rue de bethmann,33,42,-9
0915,0915,rue de béziers,20,22,-2
0975,0975,rue de blanquefort,26,27,-1
0985,0985,rue de blaye,21,18,3
1130,1130,rue de bouliac,29,28,1
1150,1150,rue de bourillon,4,4,0
1195,1195,rue de brach,96,103,-7
1250,1250,rue de brezets,27,27,0
1275,1275,rue de bruges,18,16,2
,1280,Rue de Bruges,,15,-15
1305,1305,rue de budos,14,15,-1
1350,1350,rue de cadaujac,32,32,0
1380,1380,rue de calembert,10,9,1
1462,1462,rue de campeyraut,60,61,-1
1470,1470,rue de candale,26,26,0
1485,1485,rue de canolle,16,18,-2
1505,1505,rue de cantenac,3,2,1
"",,rue de capeyron caud,15,,15
1526,1526,rue de capeyron caud,70,79,-9
1526,1526,Rue de Capeyron Caud,3,79,-76
1580,1580,rue de cardoze,55,57,-2
1615,1615,rue de carros,46,51,-5
1665,1665,rue de catros,36,37,-1
1675,1675,rue de cauderan,72,75,-3
1680,1680,rue de caudères,45,68,-23
1695,1695,rue de causserouge,19,20,-1
1750,1750,rue de cénac,30,30,0
1755,1755,rue de cenon,25,25,0
,1762,Rue de Centujean,,1,-1
1775,1775,rue de cérons,25,25,0
1785,1785,rue de cestas,35,41,-6
1815,1815,rue de chambrun,13,15,-2
2025,2025,rue de châteaudun,39,39,0
2030,2030,rue de châteauneuf,37,40,-3
2075,2075,rue de clairefontaine,12,11,1
2175,2175,rue de colmar,37,37,0
2240,2240,rue de condé,10,10,0
2385,2385,rue de créon,7,6,1
2415,2415,rue de cursol,35,38,-3
2650,2650,rue de deyme,19,19,0
2680,2680,rue de dijon,22,29,-7
2765,2765,rue de domremy,19,21,-2
2785,2785,rue de doumerc,46,50,-4
3525,3525,rue de ferron,35,37,-2
3560,3560,rue de fleurus,7,8,-1
3760,3760,rue de fumel,15,17,-2
3790,3790,rue de galard,20,21,-1
3880,3880,rue de gaulne,11,13,-2
4045,4045,rue de gironde,1,1,0
4135,4135,rue de gramont,48,47,1
4160,4160,rue de grassi,30,29,1
4240,4240,rue de guienne,18,18,0
4260,4260,rue de guillot,12,12,0
4460,4460,rue de hourtins,29,31,-2
4535,4535,rue de janeau,43,42,1
4890,4890,rue de kater,37,44,-7
0010,0010,rue de l'abattoir,7,8,-1
0020,0020,rue de l'abbesse,19,24,-5
0745,0745,rue de la bechade,48,47,1
0830,0830,rue de la benatte,71,69,2
0835,0835,rue de la benauge,226,227,-1
1015,1015,rue de la boétie,32,35,-3
4945,4945,rue de labrede,38,38,0
1360,1360,rue de la cage verte,28,31,-3
4955,4955,rue de lacanau,96,43,53
4956,4956,rue de lacanau caud,59,82,-23
1515,1515,rue de la cape,31,24,7
1900,1900,rue de la chapelle saint-jean,3,4,-1
2235,2235,rue de la concorde,23,22,1
2295,2295,rue de la coquille,4,3,1
2350,2350,rue de la cour des aides,10,11,-1
2355,2355,rue de la course,90,88,2
2515,2515,rue delacroix,46,16,30
2390,2390,rue de la croix blanche,106,100,6
2400,2400,rue de la croix de seguey,151,152,-1
2640,2640,rue de la devèze,4,12,-8
2645,2645,rue de la devise,54,58,-4
5005,5005,rue de ladous,23,26,-3
3365,3365,rue de la faïencerie,18,32,-14
3640,3640,rue de la franchise,45,45,0
3770,3770,rue de la fusterie,47,52,-5
4305,4305,rue de la halle,8,17,-9
4530,4530,rue de la jalle,17,21,-4
5105,5105,rue de lajaunie,4,14,-10
5115,5115,rue de lalande,30,39,-9
5520,5520,rue de la liberté,80,98,-18
5840,5840,rue de la maison daurade,8,11,-3
5895,5895,rue de la manutention,15,17,-2
6285,6285,rue de la merci,13,13,0
6415,6415,rue de la miséricorde,6,7,-1
5160,5160,rue de landiras,72,77,-5
2520,2520,rue delandre,9,12,-3
5175,5175,rue de langon,34,35,-1
6861,6861,rue de la paix caud,48,49,-1
6965,6965,rue de la passerelle,5,7,-2
7115,7115,rue de la pelouse de douet,64,73,-9
7370,7370,rue de la plateforme,17,23,-6
7465,7465,rue de la porte basse,16,19,-3
7470,7470,rue de la porte cailhau,6,5,1
7480,7480,rue de la porte dijeaux,81,84,-3
7490,7490,rue de la porte saint-jean,3,4,-1
7575,7575,rue de la prévôté,29,30,-1
7865,7865,rue de la renaissance,19,18,1
5198,5198,rue de la réole,64,60,4
X040,,rue de la rotonde,1,,1
8090,8090,rue de la rotonde,14,16,-2
8120,8120,rue de la rousselle,72,76,-4
0410,0410,rue de l'arsenal,41,43,-2
8530,8530,rue de la sau,12,12,0
5220,5220,rue de laseppe,103,102,1
0425,0425,rue de l'asile,8,8,0
8730,8730,rue de la source,6,6,0
9000,9000,rue de la tour de gassies,12,13,-1
9005,9005,rue de la tour du pin,17,27,-10
5238,5238,rue de la tresne,33,29,4
5270,5270,rue de lauzac,40,40,0
,9145,Rue de la Vache,,3,-3
5275,5275,rue de lavaud,59,61,-2
0510,0510,rue de l'avenir,21,16,5
9260,9260,rue de la verrerie,35,28,7
9350,9350,rue de la vieille tour,29,31,-2
9395,9395,rue de la ville de mirmont,21,23,-2
2525,2525,rue delbos,56,58,-2
3030,3030,rue de l'école,9,7,2
6495,6495,rue de l'école,1,1,0
3040,3040,rue de l'école normale,163,165,-2
3095,3095,rue de l'église,13,12,1
5340,5340,rue de lentillac,3,5,-2
5355,5355,rue de léognan,4,6,-2
5430,5430,rue de lescure,41,53,-12
5435,5435,rue de lesparre,8,9,-1
5470,5470,rue de leybardie,69,55,14
2545,2545,rue delf,7,9,-2
4400,4400,rue de l'hermitage,73,72,1
4455,4455,rue de l'hôtel de ville,4,3,1
5531,5531,rue de libourne,101,73,28
,5525,Rue de Libourne,,101,-101
4490,4490,rue de l'île,15,14,1
5555,5555,rue de lille,11,15,-4
4500,4500,rue de l'industrie,6,6,0
5570,5570,rue de lisleferme,51,53,-2
2550,2550,rue delmestre,9,10,-1
6780,6780,rue de l'observance,15,16,-1
2555,2555,rue delord,85,74,11
6810,6810,rue de l'ormeau mort,19,22,-3
5715,5715,rue de luchey,9,15,-6
5755,5755,rue de lurbe,39,37,2
,2560,Rue de Lurbe,,38,-38
5770,5770,rue de lyon,65,66,-1
5790,5790,rue de macau,56,58,-2
5800,5800,rue de madagascar,11,9,2
5815,5815,rue de madrid,58,59,-1
5835,5835,rue de mahela,48,45,3
5845,5845,rue de maître jean,31,53,-22
5850,5850,rue de majunga,28,28,0
6060,6060,rue de marmande,102,104,-2
6095,6095,rue de marseille,82,87,-5
6310,6310,rue de mérignac,15,15,0
6345,6345,rue de metz,50,48,2
6595,6595,rue de moulis,15,15,0
6630,6630,rue de mulhouse,43,44,-1
6640,6640,rue de nadeau,17,20,-3
6650,6650,rue de nantes,6,6,0
6670,6670,rue de navarre,38,43,-5
6675,6675,rue de nérac,78,78,0
6700,6700,rue de new york,39,36,3
3200,3200,rue d'enghien,10,14,-4
2565,2565,rue denise,55,52,3
6755,6755,rue de nuits,57,57,0
6985,6985,rue de patay,84,86,-2
6990,6990,rue de pauillac,27,29,-2
2575,2575,rue depe,48,43,5
7175,7175,rue de pessac,225,222,3
7340,7340,rue de pineau,9,11,-2
"",,rue de plantevigne,1,,1
,7365,Rue de Plantevigne,,1,-1
7535,7535,rue de preignac,37,38,-1
7945,7945,rue de rigoulet,75,69,6
7955,7955,rue de rivière,80,83,-3
8125,8125,rue de ruât,47,48,-1
2630,2630,rue des 2 ormeaux,19,21,-2
9100,9100,rue des 3 chandeliers,12,15,-3
9105,9105,rue des 3 conils,58,63,-5
0026,0026,rue des acacias caud,13,13,0
8150,8150,rue de saget,27,44,-17
8165,8165,rue de saïgon,22,19,3
8175,8175,rue de saincric,18,19,-1
8210,8210,rue de saint-émilion,21,20,1
8295,8295,rue de saint-macaire,35,39,-4
8490,8490,rue de saintonge,20,27,-7
0180,0180,rue des allamandiers,16,18,-2
"",,rue des anciens combattants d'afrique,5,,5
0362,0362,rue des argentiers,35,37,-2
0423,0423,rue des arts,26,26,0
0480,0480,rue des augustins,40,39,1
8560,8560,rue de sauternes,35,35,0
0520,0520,rue des ayres,53,53,0
0550,0550,rue des bahutiers,46,49,-3
0740,0740,rue des beaux arts,11,11,0
0800,0800,rue des belles îles,17,21,-4
0840,0840,rue des bénédictines,4,5,-1
2580,2580,rue desbiey,54,54,0
0995,0995,rue des bleuets,45,45,0
1095,1095,rue des boucheries,4,5,-1
1185,1185,rue des bouviers,39,41,-2
1410,1410,rue des camélias,9,9,0
1520,1520,rue des caperans,18,24,-6
1550,1550,rue des capucines,9,9,0
1595,1595,rue des carmes,20,28,-8
2585,2585,rue descartes,57,55,2
1740,1740,rue des cèdres,15,16,-1
2045,2045,rue des chênes lièges,46,43,3
2305,2305,rue des cordeliers,18,20,-2
2790,2790,rue des douves,45,50,-5
3045,3045,rue des écoles,37,38,-1
8605,8605,rue de ségur,97,101,-4
3195,3195,rue des enfants assistes,6,6,0
3255,3255,rue des étables,12,11,1
8650,8650,rue de sète,25,30,-5
3290,3290,rue des étrangers,7,12,-5
3295,3295,rue des étuves,13,23,-10
8655,8655,rue de seze,4,5,-1
3395,3395,rue des faures,67,68,-1
3400,3400,rue des faussets,23,23,0
3405,3405,rue des fauvettes,27,29,-2
2595,2595,rue desfourniel,25,27,-2
3615,3615,rue des fours,22,28,-6
3740,3740,rue des frères bonie,22,21,1
3745,3745,rue des frères faucher,49,49,0
3755,3755,rue des frères portmann,12,12,0
3830,3830,rue des gants,45,46,-1
3935,3935,rue des généraux duché,7,6,1
4050,4050,rue des girondins,27,27,0
4390,4390,rue des herbes,9,19,-10
4450,4450,rue des hortensias,2,2,0
4495,4495,rue des impasses,6,5,1
5265,5265,rue des lauriers,6,6,0
5535,5535,rue des lièges,43,43,0
5550,5550,rue des lilas,14,14,0
5565,5565,rue des liserons,10,10,0
6080,6080,rue des marronniers,41,49,-8
6275,6275,rue des menuts,70,69,1
6380,6380,rue des mimosas,9,9,0
8680,8680,rue de soissons,88,90,-2
8695,8695,rue de solférino,55,56,-1
8710,8710,rue de son tay,21,29,-8
6800,6800,rue des orangers,102,100,2
8725,8725,rue de soulac,29,34,-5
6885,6885,rue des palanques,15,22,-7
2598,2598,rue despax,15,13,2
7110,7110,rue des pelourdes,63,61,2
7170,7170,rue des pervenches,16,16,0
7181,7181,rue des petits caperans,1,1,0
2600,2600,rue despin,10,10,0
7350,7350,rue des pins francs,86,79,7
7358,7358,rue des plantes,11,12,-1
7375,7375,rue des poilus 1914 1918,36,35,1
7435,7435,rue des pontets,14,22,-8
,7493,Rue des Portes de Caudéran,,1,-1
2605,2605,rue despujols,56,47,9
1230,1230,rue des queyries,1,89,-88
7725,7725,rue des queyries,11,3,8
7860,7860,rue des remparts,68,71,-3
7910,7910,rue des résiniers,7,13,-6
7915,7915,rue des retaillons,55,57,-2
8080,8080,rue des rosiers,20,19,1
8135,8135,rue des sablières,66,62,4
2615,2615,rue desse,64,63,1
2620,2620,rue destanque,5,11,-6
8880,8880,rue des terres de borde,63,81,-18
8770,8770,rue de strasbourg,49,51,-2
9090,9090,rue des treuils,47,47,0
8793,8793,rue de suzon,1,1,0
9365,9365,rue des vignerons,39,39,0
9370,9370,rue des vignes,44,48,-4
9391,9391,rue des villas caud,31,34,-3
9435,9435,rue des violettes,35,36,-1
9450,9450,rue des vivants,65,74,-9
8800,8800,rue de talence,64,68,-4
8805,8805,rue de tamatave,16,17,-1
8820,8820,rue de taregua,28,25,3
8850,8850,rue de tauzia,53,64,-11
8965,8965,rue de tivoli,41,45,-4
8980,8980,rue de toulon,31,31,0
9040,9040,rue de tours,19,15,4
9070,9070,rue de tregey,50,53,-3
9085,9085,rue de tresses,33,38,-5
2625,2625,rue detrois,80,82,-2
9115,9115,rue de turenne,228,232,-4
9205,9205,rue de varize,20,21,-1
2635,2635,rue deveaux,58,54,4
9420,9420,rue de vincennes,87,93,-6
2655,2655,rue deyries,52,55,-3
2665,2665,rue diaz,30,30,0
"",,rue diderot,2,,2
,2670,Rue Diderot,,4,-4
2675,2675,rue dieu,7,7,0
2711,2711,rue docteur hoffmann martinot,9,9,0
2712,2712,rue docteur jean vincent,3,9,-6
2759,,rue dominique maggesi,8,,8
2760,2760,rue domion,23,23,0
2770,2770,rue donissan,51,54,-3
6820,6820,rue d'ormilly,44,44,0
6825,6825,rue d'ornano,142,136,6
2820,2820,rue drouot,11,10,1
6798,6798,rue du 11 novembre,24,25,-1
1760,1760,rue du 144e régiment d'infanterie,15,17,-2
2825,2825,rue dubessan,22,28,-6
2830,2830,rue dublan,21,20,1
1010,1010,rue du bocage,48,55,-7
1085,1085,rue du bosquet,20,20,0
2840,2840,rue dubourdieu,120,123,-3
1465,1465,rue du cancera,38,51,-13
1530,1530,rue du capitaine ferrand,43,41,2
1542,,rue du capitaine philippe koenigswerther,20,,20
1545,1545,rue du capitaine raffin,24,24,0
1567,1567,rue du cardinal feltin,59,18,41
1570,1570,rue du cardinal lavigerie,62,62,0
1576,1576,rue du cardinal lecot,18,18,0
1578,1578,rue du cardinal richaud,7,4,3
2855,2855,rue ducau,112,109,3
,1745,Rue du Cellier,,3,-3
1770,1770,rue du cerf volant,13,16,-3
1800,1800,rue du chai des farines,31,31,0
1810,1810,rue du chalet,49,51,-2
1840,1840,rue du chanoine andré lacaze,10,11,-1
"",,rue du chanoine vidal,10,,10
2005,2005,rue du château,12,13,-1
2015,2015,rue du château d'eau,26,42,-16
2010,2010,rue du château jouguet,29,31,-2
2020,2020,rue du château trompette,8,9,-1
2135,2135,rue du cloître,24,29,-5
2170,2170,rue du colisée,15,16,-1
2200,2200,rue du commandant arnould,69,71,-2
1230,1230,rue du commandant cousteau,1,89,-88
2208,2208,rue du commandant cousteau,13,3,10
2215,2215,rue du commandant hautreux,26,25,1
2220,2220,rue du commandant marchand,13,17,-4
2225,2225,rue du commerce,16,20,-4
2370,2370,rue du couvent,33,29,4
2865,2865,rue ducru,8,7,1
2420,2420,rue du cypressat,7,9,-2
2695,2695,rue du docteur albert barraud,116,123,-7
2700,2700,rue du docteur bert,37,37,0
2705,2705,rue du docteur cachau,16,17,-1
2710,2710,rue du docteur charles nancel pénard,33,34,-1
2730,2730,rue du docteur de souverbie,14,16,-2
2708,2708,rue du docteur finlay,4,24,-20
2709,2709,rue du docteur gabriel peri,5,1,4
2715,2715,rue du docteur paul castanet,31,29,2
2720,2720,rue du docteur rocaz,7,6,1
2725,2725,rue du docteur roux cauderan,12,9,3
2745,2745,rue du docteur schweitzer,12,11,1
2747,2747,rue du docteur yersin,20,20,0
2750,2750,rue du domaine devienne,2,6,-4
2870,2870,rue dudon,5,7,-2
2795,2795,rue du doyen cirot,8,10,-2
2805,2805,rue du doyen radet,18,19,-1
2810,2810,rue du doyen sigalas,14,15,-1
2815,2815,rue du doyen vizioz,14,13,1
2875,2875,rue dufau,14,14,0
3383,3383,rue du faubourg des arts,26,24,2
2880,2880,rue duffour dubergier,17,17,0
3545,3545,rue du fils,25,25,0
3605,3605,rue du fort dauphin,16,16,0
3610,3610,rue du fort louis,5,8,-3
3900,3900,rue du général de castelnau,70,77,-7
3905,3905,rue du général du cheyron,9,13,-4
"",,rue du général gustave ferrie,1,,1
4138,4138,rue du grand barail,1,1,0
4140,4140,rue du grand lebrun,32,39,-7
4145,4145,rue du grand maurian,100,100,0
4148,4148,rue du grand rabin joseph cohen,12,12,0
2891,,rue duguay trouin,1,,1
4295,4295,rue du ha,47,52,-5
4300,4300,rue du haillan,24,38,-14
2892,2892,rue du hamel,47,56,-9
4320,4320,rue du haut brion,30,35,-5
4325,4325,rue du haut queyron,21,24,-3
4545,4545,rue du jardin public,219,229,-10
"",,rue du jonc,3,,3
5290,5290,rue du lavoir,32,34,-2
5540,5540,rue du lieutenant delvert,22,23,-1
5580,5580,rue du livran,30,31,-1
5705,5705,rue du loup,70,82,-12
2910,2910,rue duluc,26,30,-4
2917,2917,rue dumaine,18,19,-1
5885,5885,rue du manège,40,41,-1
5900,5900,rue du marais,5,5,0
5995,5995,rue du maréchal joffre,98,30,68
5996,5996,rue du maréchal joffre caud,61,68,-7
0535,0535,rue du mascaret,5,4,1
6128,6128,rue du mascaret,21,20,1
6400,6400,rue du mirail,55,56,-1
2921,2921,rue dumont d'urville,3,5,-2
2920,2920,rue dumonteil,17,16,1
6575,6575,rue du moulin,5,5,0
6580,6580,rue du moulin rouge,27,27,0
6610,6610,rue du mouton,7,16,-9
6620,6620,rue du muguet,12,13,-1
6625,6625,rue du mulet,7,9,-2
6750,6750,rue du noviciat,22,23,-1
6880,6880,rue du palais de l'ombrière,18,20,-2
6875,6875,rue du palais gallien,166,165,1
6910,6910,rue du panorama,22,22,0
6915,6915,rue du parc,43,47,-4
6940,6940,rue du parlement sainte-catherine,24,19,5
6950,6950,rue du passage saint-georges,74,76,-2
2935,2935,rue dupaty,63,65,-2
7080,7080,rue du paveil,10,8,2
7090,7090,rue du pavillon,32,32,0
,7179,Rue du Petit Barail,,1,-1
7186,7186,rue du petit cardinal,65,53,12
7190,7190,rue du petit goave,45,44,1
7197,7197,rue du petit miot,1,1,0
7205,7205,rue du peugue,19,21,-2
2945,2945,rue dupleix,36,40,-4
2950,2950,rue duplessy,16,15,1
7415,7415,rue du pont de la mousque,12,31,-19
7450,7450,rue du port,16,19,-3
7455,7455,rue du portail,24,23,1
2955,,rue dupré de saint-maur,3,,3
7583,7583,rue du professeur andré lavignolle,4,3,1
7585,7585,rue du professeur benzacar,20,22,-2
7590,7590,rue du professeur bergonie,31,31,0
"",,rue du professeur calmette,2,,2
7595,7595,rue du professeur chavannaz,1,3,-2
7600,7600,rue du professeur daguin,64,69,-5
7602,7602,rue du professeur darget,6,7,-1
7605,7605,rue du professeur démons,21,20,1
7610,,rue du professeur deniges,10,,10
7615,7615,rue du professeur devaux,38,31,7
7618,7618,rue du professeur georges jeanneney,7,5,2
7620,7620,rue du professeur lannelongue,12,22,-10
,7625,Rue du Professeur Moure,,13,-13
7633,7633,rue du professeur pierre dangeard,3,1,2
7640,7640,rue du professeur rechou,1,1,0
7645,7645,rue du professeur sabrazes,18,19,-1
5040,5040,rue du professeur sabrazes,1,86,-85
7647,7647,rue du professeur timothée piechaud,26,22,4
7650,7650,rue du professeur vezes,3,2,1
7660,7660,rue du professeur vincent,4,6,-2
7685,7685,rue du puits descazeaux,26,25,1
7690,7690,rue du puits descujols,7,10,-3
7705,7705,rue du quai bourgeois,41,56,-15
2965,2965,rue duquesne,37,39,-2
2975,2975,rue duranteau,51,53,-2
7825,7825,rue du recteur thamin,16,6,10
2985,2985,rue duret,8,11,-3
2990,2990,rue durieu de maisonneuve,30,32,-2
8140,8140,rue du sablonat,79,84,-5
8145,8145,rue du sacré-coeur,34,30,4
8625,8625,rue du sergent henry,9,9,0
8630,8630,rue du serpolet,12,13,-1
8635,8635,rue du serporat,43,43,0
8685,8685,rue du soldat moncourrier,25,25,0
8690,8690,rue du soleil,18,21,-3
8795,8795,rue du taillan,27,29,-2
8855,8855,rue du tauzin,20,26,-6
8860,8860,rue du temple,32,32,0
8865,8865,rue du temps passe,46,46,0
8975,8975,rue du tondu,228,230,-2
3010,3010,rue dutour,17,19,-2
9230,9230,rue du vélodrome,94,79,15
3020,3020,rue duvergier,20,22,-2
9253,9253,rue du vergne,2,4,-2
9355,9355,rue du vieux marche,4,7,-3
3047,3047,rue edmond besse,21,22,-1
3050,3050,rue edmond costedoat,32,33,-1
