fantoir_ban,fantoir_bano,voie,nb_ban,nb_bano,diff
A121,A121,"",1,1,0
"",,allée bourges saint-genis,5,,5
,0203,Allée Bourges Saint-Genis,,4,-4
0897,,allée de la loge,1,,1
0902,0902,allée de loustauneuf,2,1,1
0034,0034,allée des alisiers,15,15,0
0037,0037,allée des alouettes,18,18,0
0137,0137,allée des bergeronnettes,11,11,0
0205,0205,allée des bouvreuils,22,22,0
0278,0278,allée des castors,29,23,6
0292,0292,allée des chardonnerets,14,14,0
0308,0308,allée des charmes,16,16,0
0324,0324,allée des colombes,25,17,8
0336,0336,allée des cygnes,16,16,0
0455,0455,allée des érables,13,14,-1
0477,0477,allée des fauvettes,8,8,0
0529,0529,allée des frênes,30,30,0
0699,0699,allée des hirondelles,12,13,-1
0896,0896,allée des linots,1,1,0
0970,0970,allée des marronniers,16,14,2
0987,0987,allée des merles,5,5,0
0988,0988,allée des mésanges,40,40,0
1015,1015,allée des mouettes,22,22,0
1085,,allée des peupliers,3,,3
1098,1098,allée des pinsons,18,18,0
1247,1247,allée des rossignols,11,11,0
1325,1325,allée des sorbiers,10,10,0
"",,allée des tourterelles,1,,1
1462,1462,allée des vergnes,4,2,2
0321,,allée du clos des chênes,12,,12
A108,A108,allée du clos des chênes,11,12,-1
1509,1509,allée du cruzeau,25,25,0
0636,0636,allée du grand chêne,9,9,0
0388,0388,allée du guesclin,4,1,3
0763,0763,allée jouvence,2,2,0
1235,1235,allée robert boulin,44,39,5
0301,0301,avenue château gaillard,43,43,0
0328,0328,avenue de condat,28,26,2
0633,0633,avenue de gourinat,46,40,6
0083,0083,avenue de la ballastière,7,6,1
1249,1249,avenue de la roudet,177,157,20
0430,0430,avenue de l'épinette,218,202,16
B128,,avenue de l'épinette,1,,1
0466,0466,avenue de l'europe jean monnet,64,60,4
0323,0323,avenue des combattants en à f n,48,43,5
1450,1450,avenue de verdun,86,76,10
0575,0575,avenue du général de gaulle,130,113,17
0935,0935,avenue du maréchal foch,197,189,8
1060,1060,avenue du parc,25,19,6
1062,1062,avenue du parc des sports,60,60,0
1132,1132,avenue du port du roy,20,17,3
0527,0527,avenue françois mauriac,41,35,6
1511,1511,avenue françois mitterrand,4,5,-1
0540,0540,avenue gallieni,94,85,9
0580,0580,avenue georges clémenceau,155,152,3
0588,0588,avenue georges pompidou,114,107,7
0692,0692,avenue henri brulle,42,40,2
0900,0900,avenue louis didier,96,84,12
0050,0050,boulevard anatole france,46,44,2
0080,0080,boulevard aristide briand,21,23,-2
0090,0090,boulevard beauséjour,67,67,0
0555,0555,boulevard de garderose,63,47,16
1196,1196,boulevard de quinault,43,40,3
"",,boulevard du 57e régiment d'infanterie,1,,1
,0313,Boulevard du 57 R I,,1,-1
0810,0810,boulevard kléber,55,46,9
1300,1300,boulevard sauvagnac,55,51,4
0095,0095,chemin de beausselle,3,3,0
0111,0111,chemin de belliquet,7,6,1
0111,0111,Chemin de Belliquet,2,6,-4
0135,0135,chemin de bequille,20,20,0
0186,0186,chemin de bonalgue,7,10,-3
0256,0256,chemin de carré,49,43,6
0265,0265,chemin de carreyre,4,7,-3
0327,0327,chemin de couperie,9,10,-1
0385,0385,chemin de doumayne,43,40,3
0553,0553,chemin de gardelle,12,5,7
0638,0638,chemin de grangeneuve,18,9,9
0671,0671,chemin de gueyrosse,18,16,2
0329,0329,chemin de la commanderie,3,2,1
0333,0333,chemin de la conque,4,3,1
0332,0332,chemin de la corbière,16,26,-10
0410,0410,chemin de la dussaude,18,16,2
